"StudySite","Aardvark_2016","Aardvark_2017","Aardvark_2018","Aardvark_all_years","Baboon_2016","Baboon_2017","Baboon_2018","Baboon_all_years","Buffalo_2016","Buffalo_2017","Buffalo_2018","Buffalo_all_years","Bushbaby_2016","Bushbaby_2017","Bushbaby_2018","Bushbaby_all_years","Bushbuck_2016","Bushbuck_2017","Bushbuck_2018","Bushbuck_all_years","Bushpig_2016","Bushpig_2017","Bushpig_2018","Bushpig_all_years","Civet_2016","Civet_2017","Civet_2018","Civet_all_years","Duiker_common_2016","Duiker_common_2017","Duiker_common_all_years","Duiker_red_2016","Duiker_red_2017","Duiker_red_2018","Duiker_red_all_years","Elephant_2016","Elephant_2017","Elephant_2018","Elephant_all_years","FloodSpecies_2016","FloodSpecies_2017","FloodSpecies_2018","FloodSpecies_all_years","Genet_2016","Genet_2017","Genet_2018","Genet_all_years","Hare_2016","Hare_2017","Hare_2018","Hare_all_years","Hartebeest_2016","Hartebeest_2017","Hartebeest_all_years","Honey_badger_2016","Honey_badger_2017","Honey_badger_2018","Honey_badger_all_years","Impala_2016","Impala_2017","Impala_2018","Impala_all_years","Kudu_2016","Kudu_2017","Kudu_2018","Kudu_all_years","Lion_2016","Lion_2017","Lion_all_years","MajorSpecies_2016","MajorSpecies_2017","MajorSpecies_2018","MajorSpecies_all_years","Mongoose_banded_2016","Mongoose_banded_2017","Mongoose_banded_all_years","Mongoose_bushy_tailed_2016","Mongoose_bushy_tailed_2017","Mongoose_bushy_tailed_2018","Mongoose_bushy_tailed_all_years","Mongoose_dwarf_2016","Mongoose_dwarf_2017","Mongoose_dwarf_all_years","Mongoose_large_grey_2016","Mongoose_large_grey_2017","Mongoose_large_grey_all_years","Mongoose_marsh_2016","Mongoose_marsh_2017","Mongoose_marsh_2018","Mongoose_marsh_all_years","Mongoose_slender_2016","Mongoose_slender_2017","Mongoose_slender_all_years","Mongoose_white_tailed_2016","Mongoose_white_tailed_2017","Mongoose_white_tailed_2018","Mongoose_white_tailed_all_years","Nyala_2016","Nyala_2017","Nyala_2018","Nyala_all_years","Oribi_2016","Oribi_2017","Oribi_2018","Oribi_all_years","Pangolin_2016","Pangolin_2017","Pangolin_all_years","Porcupine_2016","Porcupine_2017","Porcupine_2018","Porcupine_all_years","Reedbuck_2016","Reedbuck_2017","Reedbuck_2018","Reedbuck_all_years","Sable_antelope_2016","Sable_antelope_2017","Sable_antelope_2018","Sable_antelope_all_years","Samango_2017","Samango_all_years","Serval_2016","Serval_2017","Serval_2018","Serval_all_years","Vervet_2016","Vervet_2017","Vervet_2018","Vervet_all_years","Warthog_2016","Warthog_2017","Warthog_2018","Warthog_all_years","Waterbuck_2016","Waterbuck_2017","Waterbuck_2018","Waterbuck_all_years","Wildebeest_2016","Wildebeest_2017","Wildebeest_2018","Wildebeest_all_years"
"A06",0,NA,NA,0,0.2,NA,NA,0.2,0,NA,NA,0,0.04,NA,NA,0.04,0,NA,NA,0,0,NA,NA,0,0.04,NA,NA,0.04,0,NA,0,0,NA,NA,0,0,NA,NA,0,0.48,NA,NA,0.48,0.12,NA,NA,0.12,0,NA,NA,0,0,NA,0,0,NA,NA,0,0.08,NA,NA,0.08,0,NA,NA,0,0,NA,0,0.48,NA,NA,0.48,0,NA,0,0,NA,NA,0,0,NA,0,0,NA,0,0,NA,NA,0,0,NA,0,0,NA,NA,0,0,NA,NA,0,0.08,NA,NA,0.08,0,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,NA,NA,0,NA,NA,0,0,NA,NA,0,0.24,NA,NA,0.24,0.08,NA,NA,0.08,0,NA,NA,0
"A08",0,0,NA,0,1.04,1.55555555555556,NA,1.37142857142857,0,0,NA,0,0,0,NA,0,0.04,0.0888888888888889,NA,0.0714285714285714,0.04,0.111111111111111,NA,0.0857142857142857,0,0,NA,0,0,0,0,0,0,NA,0,0.08,0,NA,0.0285714285714286,0.32,0.333333333333333,NA,0.328571428571429,0.32,0.0666666666666667,NA,0.157142857142857,0,0,NA,0,0,0,0,0,0.0444444444444444,NA,0.0285714285714286,0.12,0.111111111111111,NA,0.114285714285714,0,0,NA,0,0,0,0,0.36,0.4,NA,0.385714285714286,0.04,0,0.0142857142857143,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0.0222222222222222,NA,0.0142857142857143,0,0.0444444444444444,NA,0.0285714285714286,0,0.0222222222222222,0.0142857142857143,0,0.0666666666666667,NA,0.0428571428571429,0,0.0444444444444444,NA,0.0285714285714286,0,0,NA,0,0,0,0,0,NA,0,0,0,NA,0,0.04,0.0444444444444444,NA,0.0428571428571429,0.16,0.0888888888888889,NA,0.114285714285714,0,0.0444444444444444,NA,0.0285714285714286
"A10",0,0,NA,0,0.32,0.886363636363636,NA,0.681159420289855,0,0,NA,0,0,0,NA,0,0.2,0.295454545454545,NA,0.260869565217391,0.12,0.0227272727272727,NA,0.0579710144927536,0.12,0.0454545454545455,NA,0.072463768115942,0,0,0,0,0,NA,0,0.32,0.0227272727272727,NA,0.130434782608696,0.16,0.704545454545455,NA,0.507246376811594,0.04,0.0454545454545455,NA,0.0434782608695652,0,0,NA,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0.0227272727272727,NA,0.0144927536231884,0,0,0,0.52,1.36363636363636,NA,1.05797101449275,0.04,0.0227272727272727,0.0289855072463768,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0.16,0.363636363636364,NA,0.289855072463768,0,0,NA,0,0,0,0,0,0.0454545454545455,NA,0.0289855072463768,0,0,NA,0,0,0,NA,0,0,0,0,0,NA,0,0.12,0,NA,0.0434782608695652,0.08,0.0909090909090909,NA,0.0869565217391304,0.08,0.613636363636364,NA,0.420289855072464,0,0,NA,0
"B05",0.037037037037037,0,NA,0.0185185185185185,0.222222222222222,0.222222222222222,NA,0.222222222222222,0,0,NA,0,0,0,NA,0,0.0740740740740741,0.037037037037037,NA,0.0555555555555556,0.037037037037037,0,NA,0.0185185185185185,0.0740740740740741,0.0740740740740741,NA,0.0740740740740741,0,0,0,0,0,NA,0,0.037037037037037,0,NA,0.0185185185185185,1.62962962962963,0.518518518518518,NA,1.07407407407407,0.111111111111111,0.037037037037037,NA,0.0740740740740741,0.037037037037037,0.037037037037037,NA,0.037037037037037,0,0,0,0,0,NA,0,0.185185185185185,0,NA,0.0925925925925926,0.111111111111111,0.037037037037037,NA,0.0740740740740741,0,0,0,1.7037037037037,0.518518518518518,NA,1.11111111111111,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,NA,0,0.296296296296296,0,NA,0.148148148148148,0,0,0,0.037037037037037,0,NA,0.0185185185185185,0,0.037037037037037,NA,0.0185185185185185,0.037037037037037,0,NA,0.0185185185185185,0,0,0,0.037037037037037,NA,0.0185185185185185,0.185185185185185,0,NA,0.0925925925925926,0.555555555555556,0.407407407407407,NA,0.481481481481481,0.592592592592593,0.0740740740740741,NA,0.333333333333333,0,0,NA,0
"B07",0.037037037037037,0,0,0.00862068965517241,0.481481481481481,0.278688524590164,0.178571428571429,0.301724137931034,0,0,0,0,0,0,0,0,0.185185185185185,0.0163934426229508,0.0714285714285714,0.0689655172413793,0,0,0.0357142857142857,0.00862068965517241,0.185185185185185,0,0,0.0431034482758621,0,0,0,0,0,0,0,0.037037037037037,0.0163934426229508,0,0.0172413793103448,1.51851851851852,0.39344262295082,0.357142857142857,0.646551724137931,0,0,0,0,0,0,0,0,0.0740740740740741,0,0.0227272727272727,0,0,0,0,0.62962962962963,0.0491803278688525,0.178571428571429,0.21551724137931,0.0740740740740741,0.0327868852459016,0,0.0344827586206897,0,0,0,1.66666666666667,0.459016393442623,0.428571428571429,0.732758620689655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037037037037037,0.0163934426229508,0,0.0172413793103448,0,0.0819672131147541,0,0.0431034482758621,0.111111111111111,0.0491803278688525,0.0714285714285714,0.0689655172413793,0,0,0,0,0,0,0,0.037037037037037,0.0327868852459016,0,0.0258620689655172,0,0,0,0,0,0,0,0,0,0,0.0740740740740741,0.0327868852459016,0,0.0344827586206897,0.592592592592593,0.19672131147541,0.107142857142857,0.267241379310345,0.148148148148148,0.0655737704918033,0,0.0689655172413793,0.222222222222222,0.262295081967213,0.0714285714285714,0.206896551724138
"B09",0,0,NA,0,0.92,0.704918032786885,NA,0.767441860465116,0.04,0,NA,0.0116279069767442,0,0,NA,0,0.08,0.0163934426229508,NA,0.0348837209302326,0.24,0,NA,0.0697674418604651,0,0,NA,0,0,0,0,0,0,NA,0,0.16,0.0327868852459016,NA,0.0697674418604651,0.84,0.540983606557377,NA,0.627906976744186,0.24,0.278688524590164,NA,0.267441860465116,0,0,NA,0,0,0.0163934426229508,0.0116279069767442,0,0,NA,0,0.4,0.163934426229508,NA,0.232558139534884,0,0.0327868852459016,NA,0.0232558139534884,0,0,0,0.96,0.639344262295082,NA,0.732558139534884,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0.0163934426229508,NA,0.0116279069767442,0.04,0.0819672131147541,NA,0.0697674418604651,0.08,0.0819672131147541,NA,0.0813953488372093,0,0,0,0,0.0819672131147541,NA,0.0581395348837209,0,0,NA,0,0,0,NA,0,0,0,0,0,NA,0,0,0.0491803278688525,NA,0.0348837209302326,0.24,0.278688524590164,NA,0.267441860465116,0.12,0.0163934426229508,NA,0.0465116279069767,0,0,NA,0
"C06",0,0.0163934426229508,NA,0.0113636363636364,0.222222222222222,0.147540983606557,NA,0.170454545454545,0,0,NA,0,0,0,NA,0,1.88888888888889,0.0819672131147541,NA,0.636363636363636,0.148148148148148,0,NA,0.0454545454545455,0.037037037037037,0,NA,0.0113636363636364,0,0,0,0,0,NA,0,0.111111111111111,0.0819672131147541,NA,0.0909090909090909,0.851851851851852,0.721311475409836,NA,0.761363636363636,0.222222222222222,0.163934426229508,NA,0.181818181818182,0,0,NA,0,0,0,0,0,0,NA,0,0,0.131147540983607,NA,0.0909090909090909,0,0,NA,0,0,0,0,2.74074074074074,0.770491803278688,NA,1.375,0,0,0,0,0,NA,0,0,0,0,0,0.0163934426229508,0.0113636363636364,0.037037037037037,0,NA,0.0113636363636364,0,0.0327868852459016,0.0227272727272727,0,0,NA,0,0.037037037037037,0.0327868852459016,NA,0.0340909090909091,0.296296296296296,0.0327868852459016,NA,0.113636363636364,0,0,0,1.11111111111111,0.278688524590164,NA,0.534090909090909,0.037037037037037,0.0655737704918033,NA,0.0568181818181818,0,0,NA,0,0,0,0,0,NA,0,0,0,NA,0,0.37037037037037,0.39344262295082,NA,0.386363636363636,0.148148148148148,0.0983606557377049,NA,0.113636363636364,0,0,NA,0
"C08",0,0,NA,0,0.481481481481481,0.327868852459016,NA,0.375,0,0,NA,0,0.037037037037037,0,NA,0.0113636363636364,0.703703703703704,0.0983606557377049,NA,0.284090909090909,0.037037037037037,0.19672131147541,NA,0.147727272727273,0.111111111111111,0,NA,0.0340909090909091,0.222222222222222,0,0.0681818181818182,0,0.0163934426229508,NA,0.0113636363636364,0.0740740740740741,0.0327868852459016,NA,0.0454545454545455,0.481481481481481,0.409836065573771,NA,0.431818181818182,0.259259259259259,0,NA,0.0795454545454545,0.037037037037037,0.0163934426229508,NA,0.0227272727272727,0,0,0,0.037037037037037,0,NA,0.0113636363636364,0.296296296296296,0.0983606557377049,NA,0.159090909090909,0.037037037037037,0.0163934426229508,NA,0.0227272727272727,0,0,0,1.55555555555556,0.655737704918033,NA,0.931818181818182,0,0,0,0,0.0327868852459016,NA,0.0227272727272727,0,0,0,0,0,0,0.0740740740740741,0,NA,0.0227272727272727,0.037037037037037,0,0.0113636363636364,0,0,NA,0,0.37037037037037,0.147540983606557,NA,0.215909090909091,0.111111111111111,0,NA,0.0340909090909091,0,0,0,0.0740740740740741,0,NA,0.0227272727272727,0,0,NA,0,0,0,NA,0,0.0163934426229508,0.0163934426229508,0,0,NA,0,0.111111111111111,0,NA,0.0340909090909091,0.037037037037037,0.213114754098361,NA,0.159090909090909,0.037037037037037,0.0983606557377049,NA,0.0795454545454545,0,0,NA,0
"D03",0,0,0,0,0.128205128205128,0.115384615384615,0.0714285714285714,0.109243697478992,0.153846153846154,0,0,0.0504201680672269,0,0,0,0,0.282051282051282,0.403846153846154,0.285714285714286,0.336134453781513,0,0.0192307692307692,0,0.00840336134453781,0,0,0,0,0,0,0,0,0,0,0,0.0256410256410256,0.0192307692307692,0,0.0168067226890756,0.564102564102564,0.769230769230769,0.285714285714286,0.588235294117647,0.102564102564103,0,0,0.0336134453781513,0,0,0,0,0,0,0,0,0.0576923076923077,0,0.0252100840336134,0,0.0384615384615385,0,0.0168067226890756,0,0.0961538461538462,0,0.0420168067226891,0.0769230769230769,0,0.032967032967033,0.897435897435897,1.17307692307692,0.571428571428571,0.941176470588235,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0512820512820513,0,0,0.0168067226890756,0,0,0,0,0,0,0,0.0512820512820513,0,0,0.0168067226890756,0,0,0,0,0,0,0,0.0512820512820513,0.0384615384615385,0,0.0336134453781513,0,0,0,0,0,0,0,0,0,0,0,0,0.0357142857142857,0.00840336134453781,0.307692307692308,0.0384615384615385,0,0.117647058823529,0.102564102564103,0.0384615384615385,0.0357142857142857,0.0588235294117647,0.461538461538462,0.692307692307692,0.25,0.512605042016807,0,0,0,0
"D05",0,0,NA,0,0.615384615384615,0.18,NA,0.328947368421053,0,0,NA,0,0,0,NA,0,0.5,0.06,NA,0.210526315789474,0,0,NA,0,0.0384615384615385,0,NA,0.0131578947368421,0.0384615384615385,0,0.0131578947368421,0,0,NA,0,0,0.1,NA,0.0657894736842105,1.34615384615385,0.28,NA,0.644736842105263,0,0,NA,0,0,0.02,NA,0.0131578947368421,0,0,0,0,0,NA,0,0.923076923076923,0.12,NA,0.394736842105263,0.153846153846154,0.04,NA,0.0789473684210526,0,0.02,0.0131578947368421,2.92307692307692,0.44,NA,1.28947368421053,0.0384615384615385,0,0.0131578947368421,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,1.07692307692308,0.1,NA,0.434210526315789,0.115384615384615,0,NA,0.0394736842105263,0,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,NA,0,0.0384615384615385,0,NA,0.0131578947368421,0.192307692307692,0.1,NA,0.131578947368421,0.115384615384615,0.06,NA,0.0789473684210526,0,0,NA,0
"D07",0,0,NA,0,0.564102564102564,1.09836065573771,NA,0.89,0,0,NA,0,0,0,NA,0,1.12820512820513,0.819672131147541,NA,0.94,0.102564102564103,0.0163934426229508,NA,0.05,0.0256410256410256,0,NA,0.01,0.0512820512820513,0.0163934426229508,0.03,0.0256410256410256,0,NA,0.01,0.102564102564103,0,NA,0.04,1.33333333333333,1.9672131147541,NA,1.72,0.256410256410256,0,NA,0.1,0,0,NA,0,0,0,0,0,0,NA,0,0.41025641025641,0.672131147540984,NA,0.57,0.282051282051282,0.0327868852459016,NA,0.13,0,0,0,2.82051282051282,3.52459016393443,NA,3.25,0.0256410256410256,0,0.01,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0.384615384615385,0.754098360655738,NA,0.61,0.153846153846154,0.0655737704918033,NA,0.1,0,0,0,0,0.0819672131147541,NA,0.05,0.0256410256410256,0.0163934426229508,NA,0.02,0.0769230769230769,0,NA,0.03,0,0,0,0,NA,0,0.102564102564103,0,NA,0.04,0.538461538461538,0.639344262295082,NA,0.6,0.205128205128205,0.573770491803279,NA,0.43,0,0,NA,0
"D09",0,NA,NA,0,0.523809523809524,NA,NA,0.523809523809524,0,NA,NA,0,0,NA,NA,0,0.0476190476190476,NA,NA,0.0476190476190476,0.0476190476190476,NA,NA,0.0476190476190476,0.0476190476190476,NA,NA,0.0476190476190476,0,NA,0,0,NA,NA,0,0.0476190476190476,NA,NA,0.0476190476190476,0.19047619047619,NA,NA,0.19047619047619,0.0952380952380952,NA,NA,0.0952380952380952,0,NA,NA,0,0,NA,0,0,NA,NA,0,0.0476190476190476,NA,NA,0.0476190476190476,0.0476190476190476,NA,NA,0.0476190476190476,0,NA,0,0.238095238095238,NA,NA,0.238095238095238,0,NA,0,0,NA,NA,0,0,NA,0,0,NA,0,0,NA,NA,0,0,NA,0,0,NA,NA,0,0,NA,NA,0,0.0476190476190476,NA,NA,0.0476190476190476,0,NA,0,0.0952380952380952,NA,NA,0.0952380952380952,0,NA,NA,0,0,NA,NA,0,NA,NA,0,NA,NA,0,0,NA,NA,0,0.0952380952380952,NA,NA,0.0952380952380952,0,NA,NA,0,0,NA,NA,0
"E02",0,0,NA,0,0.256410256410256,0.557692307692308,NA,0.428571428571429,0,0,NA,0,0,0,NA,0,0.307692307692308,0.230769230769231,NA,0.263736263736264,0,0.0769230769230769,NA,0.043956043956044,0.102564102564103,0.0384615384615385,NA,0.0659340659340659,0,0,0,0,0,NA,0,0,0.0192307692307692,NA,0.010989010989011,2.53846153846154,3.26923076923077,NA,2.95604395604396,0.0512820512820513,0.0192307692307692,NA,0.032967032967033,0.256410256410256,0.0576923076923077,NA,0.142857142857143,0,0,0,0,0.0384615384615385,NA,0.021978021978022,0.384615384615385,1.46153846153846,NA,1,0,0,NA,0,0,0,0,2.82051282051282,3.46153846153846,NA,3.18681318681319,0,0,0,0,0,NA,0,0,0,0,0.0256410256410256,0,0.010989010989011,0.102564102564103,0,NA,0.043956043956044,0,0,0,0,0.0192307692307692,NA,0.010989010989011,0,0,NA,0,0.384615384615385,0.961538461538462,NA,0.714285714285714,0,0,0,0,0,NA,0,0.0256410256410256,0.0384615384615385,NA,0.032967032967033,0,0,NA,0,0,0,0.0256410256410256,0.0192307692307692,NA,0.021978021978022,0,0.0769230769230769,NA,0.043956043956044,0.692307692307692,0.288461538461538,NA,0.461538461538462,1.05128205128205,0.519230769230769,NA,0.747252747252747,0,0.0192307692307692,NA,0.010989010989011
"E04",0,0.0163934426229508,NA,0.0114942528735632,0.461538461538462,1.63934426229508,NA,1.28735632183908,0,0,NA,0,0,0,NA,0,0.576923076923077,0.163934426229508,NA,0.28735632183908,0.0384615384615385,0.0163934426229508,NA,0.0229885057471264,0,0.114754098360656,NA,0.0804597701149425,0,0,0,0,0,NA,0,0,0.0163934426229508,NA,0.0114942528735632,1.73076923076923,2.63934426229508,NA,2.36781609195402,0.115384615384615,0.163934426229508,NA,0.149425287356322,0,0,NA,0,0,0,0,0,0,NA,0,0.730769230769231,1.16393442622951,NA,1.03448275862069,0,0.0327868852459016,NA,0.0229885057471264,0,0,0,2.26923076923077,2.85245901639344,NA,2.67816091954023,0,0,0,0,0,NA,0,0,0,0,0,0,0,0.0384615384615385,0,NA,0.0114942528735632,0,0,0,0,0.0327868852459016,NA,0.0229885057471264,0,0.0819672131147541,NA,0.0574712643678161,0.307692307692308,0.262295081967213,NA,0.275862068965517,0,0,0,0.269230769230769,0.0655737704918033,NA,0.126436781609195,0.0384615384615385,0.0327868852459016,NA,0.0344827586206897,0,0,NA,0,0,0,0,0,NA,0,0.192307692307692,0.180327868852459,NA,0.183908045977011,0.384615384615385,0.573770491803279,NA,0.517241379310345,0.269230769230769,0.60655737704918,NA,0.505747126436782,0,0,NA,0
"E06",0.027027027027027,0,NA,0.0102040816326531,0.027027027027027,0.262295081967213,NA,0.173469387755102,0,0,NA,0,0,0,NA,0,0.567567567567568,0.344262295081967,NA,0.428571428571429,0,0.0327868852459016,NA,0.0204081632653061,0,0.0327868852459016,NA,0.0204081632653061,0,0,0,0,0,NA,0,0.027027027027027,0.0491803278688525,NA,0.0408163265306122,1.24324324324324,1.14754098360656,NA,1.18367346938776,0.243243243243243,0.0983606557377049,NA,0.153061224489796,0.027027027027027,0,NA,0.0102040816326531,0,0,0,0,0,NA,0,0.459459459459459,0.262295081967213,NA,0.336734693877551,0.162162162162162,0.131147540983607,NA,0.142857142857143,0,0,0,2.08108108108108,1.67213114754098,NA,1.8265306122449,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0.0327868852459016,NA,0.0204081632653061,0.27027027027027,0.245901639344262,NA,0.255102040816327,0,0.180327868852459,NA,0.112244897959184,0,0,0,0.027027027027027,0.0163934426229508,NA,0.0204081632653061,0,0.0655737704918033,NA,0.0408163265306122,0,0,NA,0,0,0,0,0,NA,0,0,0,NA,0,0.459459459459459,0.459016393442623,NA,0.459183673469388,0.324324324324324,0.180327868852459,NA,0.23469387755102,0,0,NA,0
"E08",0,0,NA,0,0,0.0327868852459016,NA,0.0204081632653061,0,0,NA,0,0,0,NA,0,0.027027027027027,0.147540983606557,NA,0.102040816326531,0,0.0327868852459016,NA,0.0204081632653061,0,0,NA,0,0,0.0163934426229508,0.0102040816326531,0,0,NA,0,0,0,NA,0,0.351351351351351,0.278688524590164,NA,0.306122448979592,0,0,NA,0,0,0,NA,0,0.027027027027027,0.0163934426229508,0.0204081632653061,0,0,NA,0,0,0.0327868852459016,NA,0.0204081632653061,0,0,NA,0,0,0,0,0.351351351351351,0.426229508196721,NA,0.397959183673469,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,NA,0,0.0540540540540541,0.0163934426229508,NA,0.0306122448979592,0,0.0163934426229508,0.0102040816326531,0,0,NA,0,0.027027027027027,0,NA,0.0102040816326531,0,0,NA,0,0,0,0,0,NA,0,0,0,NA,0,0,0.0983606557377049,NA,0.0612244897959184,0.27027027027027,0.131147540983607,NA,0.183673469387755,0,0,NA,0
"E10",0,0,NA,0,0.166666666666667,0.639344262295082,NA,0.505882352941176,0,0,NA,0,0,0,NA,0,0.0833333333333333,0.131147540983607,NA,0.117647058823529,0,0.0327868852459016,NA,0.0235294117647059,0,0.0655737704918033,NA,0.0470588235294118,0,0,0,0,0,NA,0,0.0416666666666667,0.0163934426229508,NA,0.0235294117647059,0.291666666666667,1.0327868852459,NA,0.823529411764706,0,0.114754098360656,NA,0.0823529411764706,0,0,NA,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0.0163934426229508,NA,0.0117647058823529,0,0,0,0.375,1.08196721311475,NA,0.882352941176471,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0.0163934426229508,NA,0.0117647058823529,0,0,NA,0,0.25,0.0819672131147541,NA,0.129411764705882,0,0,0,0,0,NA,0,0,0.0819672131147541,NA,0.0588235294117647,0,0,NA,0,0,0,0,0.0163934426229508,NA,0.0117647058823529,0,0.0163934426229508,NA,0.0117647058823529,0.0416666666666667,0.311475409836066,NA,0.235294117647059,0,0.557377049180328,NA,0.4,0,0,NA,0
"E12",0,0,NA,0,0.333333333333333,0.620689655172414,NA,0.51063829787234,0,0,NA,0,0,0,NA,0,0.277777777777778,0.206896551724138,NA,0.234042553191489,0,0,NA,0,0.0555555555555556,0,NA,0.0212765957446809,0,0,0,0,0,NA,0,0.222222222222222,0.103448275862069,NA,0.148936170212766,0.388888888888889,0.793103448275862,NA,0.638297872340426,0,0,NA,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0.666666666666667,1,NA,0.872340425531915,0,0,0,0,0,NA,0,0,0,0,0,0,0,0.0555555555555556,0,NA,0.0212765957446809,0,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,NA,0,0,0.0689655172413793,NA,0.0425531914893617,0.222222222222222,0.448275862068966,NA,0.361702127659574,0.166666666666667,0.344827586206897,NA,0.276595744680851,0,0,NA,0
